REGISTERED DISTRICT,Registered PS
MOOL GANJ ,AURAIYA 
GOVIND NAGAR ,LUCKNOW 
BARRA ,LUCKNOW 
CANTT ,LUCKNOW 
KIDWAI NAGAR ,LUCKNOW 
NAUBASTA ,LUCKNOW 
SWAROP NAGAR ,LUCKNOW 
HARBANS MOHAL ,MAHOBA 
AKBARPUR ,JHANSI 
AKBARPUR ,JHANSI 
AMRAHAT (GOHANI) ,KANPUR CITY 
AKBARPUR ,KANPUR CITY 
AKBARPUR ,KANPUR CITY 
GAJNER ,KANPUR CITY 
GAJNER ,KANPUR CITY 
RASULABAD ,KANPUR CITY 
SHIVLI ,KANPUR CITY 
AKBARPUR ,MAINPURI 
AKBARPUR ,ETAWAH 
MOOSA NAGAR ,ETAWAH 
MAHILA THANA ,KANPUR DEHAT 
AKBARPUR ,AURAIYA 
AKBARPUR ,LUCKNOW 
PATIALI ,ETAH 
SORON ,ALIGARH 
PATIALI ,ETAWAH 
KASGANJ ,KASGANJ 
KASGANJ ,KASGANJ 
PATIALI ,KASGANJ 
SAHAWAR ,KASGANJ 
SORON ,KASGANJ 
PATIALI ,GAUTAM BUDH NAGAR 
PURAMUFTI ,ALLAHABAD 
KARARI ,KAUSHAMBI 
GRP LALITPUR ,JHANSI 
TALBEHAT ,JHANSI 
GRP LALITPUR ,LALITPUR 
GRP LALITPUR ,LALITPUR 
GRP LALITPUR ,LALITPUR 
PALI ,LALITPUR 
POORAKALAN ,LALITPUR 
TALBEHAT ,KANPUR DEHAT 
MOHANLALGANJ ,RAE BARELI 
QAISER BAGH ,KANPUR CITY 
MOHANLALGANJ ,UNNAO 
GAZIPUR ,KANPUR CITY 
GOSAINGANJ ,BARABANKI 
VIBHUTI KHAND ,BARABANKI 
VIBHUTI KHAND ,FATEHGARH 
GOMTINAGAR ,GORAKHPUR 
GAZIPUR ,SITAPUR 
ALIGANJ ,SIDDHARTH NAGAR 
GAZIPUR ,VARANASI 
VIBHUTI KHAND ,KANPUR DEHAT 
GOMTINAGAR ,MAU 
P.G.I. ,BALRAMPUR 
GAZIPUR ,SULTANPUR 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
